Date,Opponent,Location,Points For,Points Against
2016-09-22,Clemson,Home,8,10
2016-09-22,Clemson,Home,8,11
2016-09-22,Clemson,Home,8,12
2016-09-22,Clemson,Home,8,13
2016-09-22,Clemson,Home,8,14
2016-09-22,Clemson,Home,8,15
2016-09-22,Clemson,Home,8,16
2016-09-22,Clemson,Home,8,17
2016-09-22,Clemson,Home,8,18
2016-09-22,Clemson,Home,8,19
2016-09-22,Clemson,Home,8,20
2016-09-22,Clemson,Home,9,1
2016-09-22,Clemson,Home,9,2
2016-09-22,Clemson,Home,9,3
2016-09-22,Clemson,Home,9,4
2016-09-22,Clemson,Home,9,5
2016-09-22,Clemson,Home,9,6
2016-09-22,Clemson,Home,9,7
2016-09-22,Clemson,Home,9,8
2016-09-22,Clemson,Home,9,9
2016-09-22,Clemson,Home,9,10
2016-09-22,Clemson,Home,9,11
2016-09-22,Clemson,Home,9,12
2016-09-22,Clemson,Home,9,13
2016-09-22,Clemson,Home,9,14
2016-09-22,Clemson,Home,9,15
2016-09-22,Clemson,Home,9,16
2016-09-22,Clemson,Home,9,17
2016-09-22,Clemson,Home,9,18
2016-09-22,Clemson,Home,9,19
2016-09-22,Clemson,Home,9,20
2016-09-22,Clemson,Home,10,1
2016-09-22,Clemson,Home,10,1
2016-09-22,Clemson,Home,10,2
2016-09-22,Clemson,Home,10,3
2016-09-22,Clemson,Home,10,4
2016-09-22,Clemson,Home,10,5
2016-09-22,Clemson,Home,10,6
2016-09-22,Clemson,Home,10,7
2016-09-22,Clemson,Home,10,8
2016-09-22,Clemson,Home,10,9
2016-09-22,Clemson,Home,10,10
2016-09-22,Clemson,Home,10,11
2016-09-22,Clemson,Home,10,12
2016-09-22,Clemson,Home,10,13
2016-09-22,Clemson,Home,10,14
2016-09-22,Clemson,Home,10,15
2016-09-22,Clemson,Home,10,16
2016-09-22,Clemson,Home,10,10
2016-10-15,Georgia,Home,35,1
2016-10-15,Georgia,Home,35,2
2016-10-15,Georgia,Home,35,3
2016-10-15,Georgia,Home,35,4
2016-10-15,Georgia,Home,35,5
2016-10-15,Georgia,Home,35,6
2016-10-15,Georgia,Home,35,7
2016-10-15,Georgia,Home,35,8
2016-10-15,Georgia,Home,35,9
2016-10-15,Georgia,Home,35,10
2016-10-15,Georgia,Home,35,11
2016-10-15,Georgia,Home,35,12
2016-10-15,Georgia,Home,35,13
2016-10-15,Georgia,Home,35,14
2016-10-15,Georgia,Home,35,15
2016-10-15,Georgia,Home,35,16
2016-10-15,Georgia,Home,35,17
2016-10-15,Georgia,Home,35,18
2016-10-15,Georgia,Home,35,19
2016-10-15,Georgia,Home,35,20
2016-10-15,Georgia,Home,35,21
2016-10-15,Georgia,Home,35,22
2016-10-15,Georgia,Home,35,23
2016-10-15,Georgia,Home,35,24
2016-10-15,Georgia,Home,35,25
2016-10-15,Georgia,Home,35,26
2016-10-15,Georgia,Home,35,27
2016-10-15,Georgia,Home,35,28
2016-10-15,Georgia,Home,35,29
2016-10-15,Georgia,Home,35,30
2016-10-15,Georgia,Home,35,31
2016-10-15,Georgia,Home,35,32
2016-10-15,Georgia,Home,35,33
2016-10-15,Georgia,Home,35,34
2016-10-15,Georgia,Home,45,35
2016-10-15,Georgia,Home,45,36
2016-10-15,Georgia,Home,45,37
2016-10-15,Georgia,Home,45,38
2016-10-15,Georgia,Home,45,39
2016-10-15,Georgia,Home,45,40
2016-10-15,Georgia,Home,45,41
2016-10-15,Georgia,Home,45,42
2016-10-15,Georgia,Home,45,43
2016-10-15,Georgia,Home,45,44
2016-10-15,Georgia,Home,46,45
2016-10-15,Georgia,Home,15,15
2016-10-15,Georgia,Home,46,46
2016-10-15,Georgia,Home,20,20
2016-03-19,Georgia,Home,16,18
2016-06-20,Georgia,Home,15,25
